entity_id,fault_label,fault_keyword,matched_variable,top1_candidate,top3_candidates,true_variable_rank
2915,TCP +50,TCP,"['TCP Tuner', 'TCP Phase Err', 'TCP Impedance', 'TCP Top Pwr', 'TCP Rfl Pwr', 'TCP Load']",RF Load,"['RF Load', 'TCP Tuner', 'RF Pwr']",2
2916,RF -12,RF,"['RF Btm Pwr', 'RF Btm Rfl Pwr', 'RF Tuner', 'RF Load', 'RF Phase Err', 'RF Pwr', 'RF Impedance', 'TCP Rfl Pwr']",RF Load,"['RF Load', 'RF Tuner', 'RF Phase Err']",1
2917,RF +10,RF,"['RF Btm Pwr', 'RF Btm Rfl Pwr', 'RF Tuner', 'RF Load', 'RF Phase Err', 'RF Pwr', 'RF Impedance', 'TCP Rfl Pwr']",RF Load,"['RF Load', 'TCP Impedance', 'Endpt A']",1
2918,Pr +3,Pr,"['He Press', 'Pressure']",Vat Valve,"['Vat Valve', 'RF Pwr', 'RF Tuner']",9
2936,TCP +10,TCP,"['TCP Tuner', 'TCP Phase Err', 'TCP Impedance', 'TCP Top Pwr', 'TCP Rfl Pwr', 'TCP Load']",TCP Impedance,"['TCP Impedance', 'TCP Tuner', 'BCl3 Flow']",1
2937,BCl3 +5,BCl3,['BCl3 Flow'],Cl2 Flow,"['Cl2 Flow', 'TCP Impedance', 'TCP Rfl Pwr']",18
2938,Pr -2,Pr,"['He Press', 'Pressure']",Vat Valve,"['Vat Valve', 'RF Pwr', 'Endpt A']",17
2939,Cl2 -5,Cl2,['Cl2 Flow'],Vat Valve,"['Vat Valve', 'RF Pwr', 'Endpt A']",7
2940,He Chuck,He,['He Press'],Cl2 Flow,"['Cl2 Flow', 'RF Tuner', 'TCP Impedance']",18
3120,TCP +30,TCP,"['TCP Tuner', 'TCP Phase Err', 'TCP Impedance', 'TCP Top Pwr', 'TCP Rfl Pwr', 'TCP Load']",RF Load,"['RF Load', 'TCP Tuner', 'Endpt A']",2
3121,Cl2 +5,Cl2,['Cl2 Flow'],TCP Impedance,"['TCP Impedance', 'RF Tuner', 'RF Pwr']",11
3122,RF +8,RF,"['RF Btm Pwr', 'RF Btm Rfl Pwr', 'RF Tuner', 'RF Load', 'RF Phase Err', 'RF Pwr', 'RF Impedance', 'TCP Rfl Pwr']",Step Number,"['Step Number', 'BCl3 Flow', 'TCP Tuner']",7
3141,BCl3 -5,BCl3,['BCl3 Flow'],RF Phase Err,"['RF Phase Err', 'RF Pwr', 'RF Btm Rfl Pwr']",13
3142,Pr +2,Pr,"['He Press', 'Pressure']",Vat Valve,"['Vat Valve', 'RF Pwr', 'TCP Rfl Pwr']",15
3143,TCP -20,TCP,"['TCP Tuner', 'TCP Phase Err', 'TCP Impedance', 'TCP Top Pwr', 'TCP Rfl Pwr', 'TCP Load']",RF Load,"['RF Load', 'RF Pwr', 'Vat Valve']",4
3318,TCP -15,TCP,"['TCP Tuner', 'TCP Phase Err', 'TCP Impedance', 'TCP Top Pwr', 'TCP Rfl Pwr', 'TCP Load']",RF Pwr,"['RF Pwr', 'RF Load', 'RF Tuner']",9
3319,Cl2 -10,Cl2,['Cl2 Flow'],Vat Valve,"['Vat Valve', 'BCl3 Flow', 'RF Pwr']",16
3320,RF -12,RF,"['RF Btm Pwr', 'RF Btm Rfl Pwr', 'RF Tuner', 'RF Load', 'RF Phase Err', 'RF Pwr', 'RF Impedance', 'TCP Rfl Pwr']",RF Load,"['RF Load', 'Cl2 Flow', 'RF Impedance']",1
3339,BCl3 +10,BCl3,['BCl3 Flow'],Vat Valve,"['Vat Valve', 'RF Impedance', 'RF Load']",16
3340,Pr +1,Pr,"['He Press', 'Pressure']",Vat Valve,"['Vat Valve', 'RF Pwr', 'RF Impedance']",17
3341,TCP +20,TCP,"['TCP Tuner', 'TCP Phase Err', 'TCP Impedance', 'TCP Top Pwr', 'TCP Rfl Pwr', 'TCP Load']",RF Load,"['RF Load', 'TCP Tuner', 'RF Pwr']",2
